"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
1,178;-0,659;1,178;-0,529
1,180;-0,654;1,180;-0,527
1,182;-0,648;1,182;-0,530
1,184;-0,656;1,184;-0,525
1,186;-0,656;1,186;-0,538
1,188;-0,657;1,188;-0,541
1,190;-0,656;1,190;-0,538
1,192;-0,656;1,192;-0,545
1,194;-0,654;1,194;-0,543
1,196;-0,657;1,196;-0,541
1,198;-0,650;1,198;-0,545
1,200;-0,648;1,200;-0,538
1,202;-0,654;1,202;-0,539
1,204;-0,650;1,204;-0,534
1,206;-0,652;1,206;-0,541
1,208;-0,648;1,208;-0,534
1,210;-0,654;1,210;-0,539
1,212;-0,645;1,212;-0,530
1,214;-0,648;1,214;-0,532
1,216;-0,648;1,216;-0,532
1,218;-0,648;1,218;-0,536
1,220;-0,645;1,220;-0,539
1,222;-0,652;1,222;-0,547
1,224;-0,645;1,224;-0,545
1,226;-0,643;1,226;-0,547
1,228;-0,647;1,228;-0,548
1,230;-0,656;1,230;-0,554
1,232;-0,648;1,232;-0,547
1,234;-0,641;1,234;-0,548
1,236;-0,648;1,236;-0,545
1,238;-0,654;1,238;-0,543
1,240;-0,647;1,240;-0,539
1,242;-0,645;1,242;-0,536
1,244;-0,652;1,244;-0,543
1,246;-0,652;1,246;-0,543
1,248;-0,648;1,248;-0,538
1,250;-0,650;1,250;-0,539
1,252;-0,654;1,252;-0,536
1,254;-0,647;1,254;-0,541
1,256;-0,654;1,256;-0,541
1,258;-0,652;1,258;-0,539
1,260;-0,654;1,260;-0,547
1,262;-0,647;1,262;-0,548
1,264;-0,654;1,264;-0,545
1,266;-0,652;1,266;-0,548
1,268;-0,645;1,268;-0,547
1,270;-0,650;1,270;-0,552
1,272;-0,650;1,272;-0,548
1,274;-0,647;1,274;-0,548
1,276;-0,650;1,276;-0,548
1,278;-0,641;1,278;-0,545
1,280;-0,648;1,280;-0,541
1,282;-0,652;1,282;-0,536
1,284;-0,652;1,284;-0,534
1,286;-0,647;1,286;-0,534
1,288;-0,650;1,288;-0,539
1,290;-0,647;1,290;-0,530
1,292;-0,654;1,292;-0,543
1,294;-0,659;1,294;-0,539
1,296;-0,650;1,296;-0,541
1,298;-0,648;1,298;-0,547
1,300;-0,652;1,300;-0,545
1,302;-0,654;1,302;-0,541
1,304;-0,654;1,304;-0,548
1,306;-0,654;1,306;-0,541
1,308;-0,650;1,308;-0,536
1,310;-0,647;1,310;-0,541
1,312;-0,654;1,312;-0,534
1,314;-0,652;1,314;-0,536
1,316;-0,654;1,316;-0,532
1,318;-0,654;1,318;-0,530
1,320;-0,645;1,320;-0,532
1,322;-0,654;1,322;-0,527
1,324;-0,650;1,324;-0,527
1,326;-0,648;1,326;-0,532
1,328;-0,657;1,328;-0,532
1,330;-0,648;1,330;-0,538
1,332;-0,652;1,332;-0,536
1,334;-0,652;1,334;-0,539
1,336;-0,654;1,336;-0,539
1,338;-0,648;1,338;-0,541
1,340;-0,650;1,340;-0,541
1,342;-0,643;1,342;-0,538
1,344;-0,648;1,344;-0,543
1,346;-0,647;1,346;-0,538
1,348;-0,647;1,348;-0,539
1,350;-0,650;1,350;-0,541
1,352;-0,645;1,352;-0,538
1,354;-0,647;1,354;-0,534
1,356;-0,645;1,356;-0,530
1,358;-0,650;1,358;-0,530
1,360;-0,648;1,360;-0,534
1,362;-0,645;1,362;-0,539
1,364;-0,650;1,364;-0,536
1,366;-0,647;1,366;-0,536
1,368;-0,647;1,368;-0,538
1,370;-0,648;1,370;-0,538
1,372;-0,641;1,372;-0,539
1,374;-0,650;1,374;-0,545
1,376;-0,648;1,376;-0,548
1,378;-0,638;1,378;-0,552
1,380;-0,650;1,380;-0,554
1,382;-0,647;1,382;-0,543
1,384;-0,647;1,384;-0,543
1,386;-0,648;1,386;-0,539
1,388;-0,647;1,388;-0,532
1,390;-0,640;1,390;-0,538
1,392;-0,647;1,392;-0,541
1,394;-0,648;1,394;-0,541
1,396;-0,654;1,396;-0,543
1,398;-0,648;1,398;-0,539
1,400;-0,648;1,400;-0,545
1,402;-0,650;1,402;-0,550
1,404;-0,656;1,404;-0,552
1,406;-0,654;1,406;-0,547
1,408;-0,648;1,408;-0,550
1,410;-0,650;1,410;-0,554
1,412;-0,647;1,412;-0,552
1,414;-0,641;1,414;-0,554
1,416;-0,652;1,416;-0,548
1,418;-0,648;1,418;-0,547
1,420;-0,652;1,420;-0,536
1,422;-0,647;1,422;-0,539
1,424;-0,643;1,424;-0,539
1,426;-0,648;1,426;-0,543
1,428;-0,648;1,428;-0,536
1,430;-0,652;1,430;-0,532
1,432;-0,648;1,432;-0,538
1,434;-0,652;1,434;-0,539
1,436;-0,656;1,436;-0,538
1,438;-0,656;1,438;-0,538
1,440;-0,652;1,440;-0,538
1,442;-0,657;1,442;-0,541
1,444;-0,650;1,444;-0,538
1,446;-0,652;1,446;-0,543
1,448;-0,650;1,448;-0,541
1,450;-0,654;1,450;-0,547
1,452;-0,656;1,452;-0,548
1,454;-0,650;1,454;-0,541
1,456;-0,652;1,456;-0,534
1,458;-0,648;1,458;-0,532
1,460;-0,652;1,460;-0,534
1,462;-0,656;1,462;-0,525
1,464;-0,654;1,464;-0,527
1,466;-0,648;1,466;-0,534
1,468;-0,652;1,468;-0,534
1,470;-0,656;1,470;-0,534
1,472;-0,654;1,472;-0,532
1,474;-0,661;1,474;-0,539
1,476;-0,648;1,476;-0,538
1,478;-0,647;1,478;-0,538
1,480;-0,648;1,480;-0,545
1,482;-0,643;1,482;-0,545
1,484;-0,648;1,484;-0,555
1,486;-0,650;1,486;-0,552
1,488;-0,643;1,488;-0,536
1,490;-0,650;1,490;-0,536
1,492;-0,645;1,492;-0,534
1,494;-0,645;1,494;-0,532
1,496;-0,640;1,496;-0,539
1,498;-0,638;1,498;-0,536
1,500;-0,645;1,500;-0,538
1,502;-0,641;1,502;-0,541
1,504;-0,647;1,504;-0,539
1,506;-0,647;1,506;-0,543
1,508;-0,643;1,508;-0,543
1,510;-0,641;1,510;-0,547
1,512;-0,645;1,512;-0,545
