"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
1,428;-0,663;1,428;-0,520
1,430;-0,661;1,430;-0,527
1,432;-0,659;1,432;-0,518
1,434;-0,659;1,434;-0,523
1,436;-0,657;1,436;-0,525
1,438;-0,659;1,438;-0,518
1,440;-0,661;1,440;-0,523
1,442;-0,657;1,442;-0,527
1,444;-0,661;1,444;-0,523
1,446;-0,657;1,446;-0,523
1,448;-0,659;1,448;-0,527
1,450;-0,657;1,450;-0,530
1,452;-0,656;1,452;-0,530
1,454;-0,665;1,454;-0,525
1,456;-0,657;1,456;-0,527
1,458;-0,657;1,458;-0,527
1,460;-0,654;1,460;-0,525
1,462;-0,654;1,462;-0,523
1,464;-0,657;1,464;-0,525
1,466;-0,656;1,466;-0,529
1,468;-0,657;1,468;-0,521
1,470;-0,657;1,470;-0,525
1,472;-0,656;1,472;-0,518
1,474;-0,659;1,474;-0,523
1,476;-0,656;1,476;-0,518
1,478;-0,656;1,478;-0,516
1,480;-0,652;1,480;-0,518
1,482;-0,661;1,482;-0,523
1,484;-0,659;1,484;-0,521
1,486;-0,654;1,486;-0,521
1,488;-0,657;1,488;-0,520
1,490;-0,652;1,490;-0,516
1,492;-0,657;1,492;-0,520
1,494;-0,656;1,494;-0,514
1,496;-0,657;1,496;-0,518
1,498;-0,661;1,498;-0,527
1,500;-0,656;1,500;-0,523
1,502;-0,652;1,502;-0,521
1,504;-0,657;1,504;-0,520
1,506;-0,656;1,506;-0,521
1,508;-0,661;1,508;-0,514
1,510;-0,657;1,510;-0,514
1,512;-0,657;1,512;-0,513
