"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 2";"Fuerza (N) Serie Nº 2"
;;0,24;0,007
;;0,24;-0,002
;;0,24;0,002
;;0,24;0,005
;;0,24;0,003
;;0,24;0,003
;;0,24;0,003
;;0,24;0,009
;;0,24;0,005
;;0,24;0,007
;;0,24;0,007
;;0,24;0,007
;;0,24;0,002
;;0,24;0,003
;;0,24;0,003
;;0,24;-2,236E-4
;;0,24;0,005
;;0,24;0,005
;;0,24;0,003
;;0,24;0,003
;;0,24;0,007
;;0,24;0,007
;;0,24;0,007
;;0,24;0,002
;;0,24;0,005
;;0,24;0,002
;;0,24;0,007
;;0,24;0,005
;;0,24;0,005
;;0,24;0,003
;;0,24;0,005
;;0,24;0,003
;;0,24;0,002
;;0,24;0,003
;;0,24;0,005
;;0,24;0,005
;;0,24;0,009
;;0,24;0,003
;;0,24;0,002
;;0,24;0,007
;;0,24;0,005
;;0,24;0,003
;;0,24;0,005
;;0,24;0,005
;;0,24;0,003
;;0,24;0,011
;;0,24;0,007
;;0,24;0,009
;;0,24;0,007
;;0,24;0,003
;;0,24;0,005
;;0,24;0,009
;;0,24;0,003
;;0,24;0,003
;;0,24;0,003
;;0,24;0,003
;;0,24;0,007
;;0,24;0,007
;;0,24;0,007
;;0,24;0,007
;;0,24;0,005
;;0,24;0,003
;;0,24;0,002
;;0,24;0,007
;;0,24;0,003
;;0,24;0,002
;;0,24;0,003
;;0,24;0,005
;;0,24;0,002
;;0,24;-2,236E-4
;;0,24;0,003
;;0,24;0,003
;;0,24;0,007
;;0,24;-2,236E-4
;;0,24;0,007
;;0,24;0,002
;;0,24;0,002
;;0,24;0,007
;;0,24;0,003
;;0,24;-2,236E-4
;;0,24;0,003
;;0,24;0,003
;;0,24;0,002
;;0,24;0,005
;;0,24;-2,236E-4
;;0,24;0,005
;;0,24;-2,236E-4
;;0,24;0,003
;;0,24;0,005
;;0,24;0,005
;;0,24;0,002
;;0,24;0,003
;;0,24;0,003
;;0,24;0,007
;;0,24;0,003
;;0,24;0,007
;;0,24;0,003
;;0,24;0,005
;;0,24;0,003
;;0,24;0,007
;;0,24;0,009
;;0,24;0,007
;;0,24;0,003
;;0,24;0,003
;;0,24;0,005
;;0,24;0,009
;;0,24;0,007
;;0,24;0,005
;;0,24;0,007
;;0,24;0,005
;;0,24;0,005
;;0,24;0,005
;;0,24;0,005
;;0,24;0,005
;;0,24;0,007
;;0,24;0,005
;;0,24;0,005
;;0,24;0,005
;;0,24;0,002
;;0,24;0,009
;;0,24;0,007
;;0,24;0,007
;;0,24;0,003
;;;0,007
;;;0,007
