"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,824
0,32;-10,822
0,32;-10,833
0,32;-10,820
0,32;-10,831
0,32;-10,829
0,32;-10,826
0,32;-10,829
0,32;-10,829
0,32;-10,831
0,32;-10,829
0,32;-10,829
0,32;-10,827
0,32;-10,829
0,32;-10,829
0,32;-10,831
0,32;-10,827
0,32;-10,829
0,32;-10,826
0,32;-10,826
0,32;-10,822
0,32;-10,827
0,32;-10,827
0,32;-10,826
0,32;-10,824
0,32;-10,831
0,32;-10,827
0,32;-10,822
0,32;-10,827
0,32;-10,822
0,32;-10,824
0,32;-10,820
0,32;-10,822
0,32;-10,824
0,32;-10,826
0,32;-10,818
0,32;-10,824
0,32;-10,826
0,32;-10,831
0,32;-10,826
0,32;-10,818
0,32;-10,824
0,32;-10,838
0,32;-10,813
0,32;-10,818
0,32;-10,822
0,32;-10,818
0,32;-10,818
0,32;-10,829
0,32;-10,824
0,32;-10,835
0,32;-10,829
0,32;-10,820
0,32;-10,817
0,32;-10,818
0,32;-10,818
0,32;-10,817
0,32;-10,818
0,32;-10,826
0,32;-10,824
0,32;-10,826
0,32;-10,822
0,32;-10,827
0,32;-10,835
0,32;-10,829
0,32;-10,820
0,32;-10,822
0,32;-10,820
0,32;-10,831
0,32;-10,822
0,32;-10,815
0,32;-10,827
0,32;-10,831
0,32;-10,820
0,32;-10,824
0,32;-10,833
0,32;-10,811
0,32;-10,820
0,32;-10,838
0,32;-10,809
0,32;-10,809
0,32;-10,842
0,32;-10,806
0,32;-10,836
0,32;-10,836
0,32;-10,817
0,32;-10,833
0,32;-10,840
0,32;-10,809
0,32;-10,829
0,32;-10,829
0,32;-10,801
0,32;-10,827
0,32;-10,820
0,32;-10,811
0,32;-10,840
0,32;-10,817
0,32;-10,817
0,32;-10,836
0,32;-10,815
0,32;-10,817
0,32;-10,833
0,32;-10,815
0,32;-10,818
0,32;-10,822
0,32;-10,817
0,32;-10,820
0,32;-10,829
0,32;-10,818
0,32;-10,829
0,32;-10,827
0,32;-10,824
0,32;-10,820
0,32;-10,822
0,32;-10,818
0,32;-10,818
0,32;-10,817
0,32;-10,811
0,32;-10,822
0,32;-10,824
0,32;-10,826
0,32;-10,820
0,32;-10,818
0,32;-10,818
0,32;-10,820
0,32;-10,815
0,32;-10,808
0,32;-10,817
0,32;-10,815
0,32;-10,817
0,32;-10,824
0,32;-10,818
0,32;-10,824
0,32;-10,822
0,32;-10,822
0,32;-10,824
0,32;-10,817
0,32;-10,813
0,32;-10,813
0,32;-10,818
0,32;-10,813
0,32;-10,820
0,32;-10,817
0,32;-10,822
0,32;-10,824
0,32;-10,817
0,32;-10,817
0,32;-10,815
0,32;-10,817
0,32;-10,809
0,32;-10,809
0,32;-10,817
0,32;-10,815
0,32;-10,809
0,32;-10,817
0,32;-10,811
0,32;-10,817
0,32;-10,824
0,32;-10,809
0,32;-10,817
0,32;-10,813
0,32;-10,813
0,32;-10,811
0,32;-10,813
0,32;-10,811
0,32;-10,817
0,32;-10,820
0,32;-10,817
0,32;-10,813
0,32;-10,811
0,32;-10,815
0,32;-10,811
0,32;-10,808
0,32;-10,811
0,32;-10,811
0,32;-10,809
0,32;-10,817
0,32;-10,809
0,32;-10,818
0,32;-10,815
0,32;-10,820
0,32;-10,811
0,32;-10,815
0,32;-10,813
0,32;-10,811
0,32;-10,815
0,32;-10,813
0,32;-10,808
0,32;-10,815
0,32;-10,813
0,32;-10,815
0,32;-10,818
0,32;-10,818
0,32;-10,809
0,32;-10,811
0,32;-10,804
0,32;-10,809
0,32;-10,813
0,32;-10,802
0,32;-10,809
0,32;-10,815
0,32;-10,811
0,32;-10,815
0,32;-10,813
0,32;-10,811
0,32;-10,813
0,32;-10,811
0,32;-10,809
0,32;-10,815
0,32;-10,804
0,32;-10,809
0,32;-10,809
0,32;-10,809
0,32;-10,808
0,32;-10,811
0,32;-10,801
0,32;-10,802
0,32;-10,813
0,32;-10,802
0,32;-10,806
0,32;-10,815
0,32;-10,801
0,32;-10,811
0,32;-10,813
0,32;-10,806
0,32;-10,809
0,32;-10,813
0,32;-10,811
0,32;-10,811
0,32;-10,804
0,32;-10,811
0,32;-10,811
0,32;-10,806
0,32;-10,806
0,32;-10,804
0,32;-10,808
0,32;-10,806
0,32;-10,815
0,32;-10,808
0,32;-10,808
0,32;-10,811
0,32;-10,809
0,32;-10,808
0,32;-10,811
